Country_Code,year,PerCapita_HealthExp,HealthExp_to_GDP_percent,PerCapita_Health_USD,Total_HealthSpending_USD
AUS,1971,15.99,0.73,33.99,439.73
AUS,1972,15.09,0.69,34.18,450.44
AUS,1973,15.12,0.68,37.96,507.85
AUS,1974,14.77,0.75,45.34,622.17
AUS,1975,11.85,0.68,44.36,616.34
AUS,1976,10.92,0.63,44.34,622.22
AUS,1977,10.09,0.61,45.41,644.42
AUS,1978,9.96,0.59,48.13,691.01
AUS,1979,8.98,0.52,47.31,686.61
AUS,1980,9.26,0.54,54.88,806.22
AUS,1981,9.39,0.55,62.73,936.14
AUS,1982,9.25,0.56,65.25,990.7
AUS,1983,9.59,0.58,72.63,1118.01
AUS,1984,9.47,0.57,76.09,1185.36
AUS,1985,9.56,0.58,81.78,1291.23
AUS,1986,9.57,0.6,86.55,1386.31
AUS,1987,9.54,0.58,90.91,1478.5
AUS,1988,9.82,0.6,100.97,1669.27
AUS,1989,10.2,0.62,111.93,1881.95
AUS,1990,10.47,0.68,122.16,2084.61
AUS,1991,10.94,0.74,135,2333.29
AUS,1992,11.41,0.78,148.93,2603.04
AUS,1993,11.98,0.82,164.47,2900.43
AUS,1994,12.51,0.86,181.94,3239.54
AUS,1995,12.76,0.88,196.21,3532.65
AUS,1996,13.11,0.93,215.33,3924.34
AUS,1997,13.44,0.95,232.17,4277.26
AUS,1998,14.08,1.02,259.04,4820.13
AUS,1999,14.68,1.07,287.25,5403.73
AUS,2000,15.7,1.19,338.1,6433.7
AUS,2001,16.06,1.23,367.85,7090.26
AUS,2002,15.37,1.21,381.43,7436.12
AUS,2003,15.76,1.24,406.44,8015.26
AUS,2004,15.66,1.27,441.2,8794.36
AUS,2005,15.22,1.21,437.13,8819.8
AUS,2006,15.28,1.22,457.72,9360.71
AUS,2007,15.2,1.22,486.41,10130.72
AUS,2008,15.41,1.27,516.33,10971.66
AUS,2009,15.54,1.33,530.97,11517.6
AUS,2010,15.63,1.32,561.66,12374.33
AUS,2011,15.31,1.31,583.22,13029.19
AUS,2012,15.31,1.33,589.99,13412.59
AUS,2013,14.35,1.26,586.4,13562.38
AUS,2014,12.5,1.23,569.46,13368.35
AUS,2015,12.44,1.27,594.23,14152.25
AUS,2016,12.92,1.3,650.54,15737.13
AUS,2017,12.28,1.24,622.91,15318.92
AUS,2018,11.93,1.2,619.26,15458.65
AUS,2019,12.05,1.23,617.73,15650.06
AUS,2020,11.96,1.28,680.87,17463.75
AUT,1990,10.13,0.78,150.16,1152.93
AUT,1991,10,0.78,158.6,1229.89
AUT,1992,9.89,0.8,168.79,1323.41
AUT,1993,9.75,0.84,180.29,1425.32
AUT,1994,9.46,0.85,190.77,1513.95
AUT,1995,9.54,0.85,199.06,1582.19
AUT,1996,9.84,0.87,212.57,1691.82
AUT,1997,11.21,1.01,253.99,2023.79
AUT,1998,11.84,1.08,287.56,2293.81
AUT,1999,12.55,1.17,322.49,2577.44
AUT,2000,12.73,1.17,357.06,2860.63
AUT,2001,12.9,1.2,368.74,2965.53
AUT,2002,13.15,1.24,407.91,3296.71
AUT,2003,13.61,1.3,435.14,3533.97
AUT,2004,13.31,1.29,453.93,3709.53
AUT,2005,13.24,1.27,460.16,3786.11
AUT,2006,13.27,1.27,482.4,3988.77
AUT,2007,13.49,1.29,511.9,4246.43
AUT,2008,13.43,1.31,538.53,4481.35
AUT,2009,12.37,1.27,505.93,4221.15
AUT,2010,12.22,1.25,520.45,4352.72
AUT,2011,12.29,1.23,534.07,4481.7
AUT,2012,12.06,1.23,553.48,4665.81
AUT,2013,11.89,1.22,566.62,4804.85
AUT,2014,12.14,1.26,589.98,5042.19
AUT,2015,12.29,1.27,607.65,5251.72
AUT,2016,11.97,1.24,621.65,5431.18
AUT,2017,12.09,1.26,642.38,5651.36
AUT,2018,11.95,1.24,659.52,5830.5
AUT,2019,11.84,1.24,665.85,5912.71
AUT,2020,12.13,1.38,711.33,6342.79
AUT,2021,11.43,1.38,764.77,6849.1
BEL,1970,28.11,1.08,42.05,406.02
BEL,1971,28.28,1.12,46.63,451.02
BEL,1972,27.63,1.13,51.47,499.87
BEL,1973,27.55,1.21,61.83,602.3
BEL,1974,26.78,1.19,68.93,673.59
BEL,1975,21.89,1.21,73.39,719.3
BEL,1976,18.88,1.09,72.63,713.1
BEL,1977,18.3,1.14,81.65,802.64
BEL,1978,17.79,1.14,89.43,879.92
BEL,1979,17.39,1.11,97.87,963.89
BEL,1980,17.37,1.07,102.93,1014.78
BEL,1981,16.04,1.06,107.31,1057.98
BEL,1982,15.4,1.05,114.23,1125.87
BEL,1983,15.59,1.09,122.59,1208.23
BEL,1984,14.97,1.02,121.77,1200.04
BEL,1985,15.68,1.08,135.8,1338.77
BEL,1986,15.71,1.11,148.42,1463.66
BEL,1987,15.95,1.14,161.07,1589.8
BEL,1988,16.48,1.18,183.22,1814.14
BEL,1989,16.23,1.15,195.37,1941.55
BEL,1990,15.52,1.11,202.06,2013.99
BEL,1991,15.6,1.16,221.64,2217.35
BEL,1992,16.28,1.24,248.41,2495.32
BEL,1993,17.45,1.35,276.29,2786.19
BEL,1994,17.46,1.32,283.14,2864.11
BEL,1995,18.07,1.36,301.87,3060.02
BEL,1996,17.12,1.34,302.68,3074.17
BEL,1997,17.5,1.34,317.54,3232.96
BEL,2003,17.4,1.59,505,5239.94
BEL,2004,17.11,1.6,528.02,5502.6
BEL,2005,16.96,1.56,526.39,5515.84
BEL,2006,16.43,1.5,524.9,5536.67
BEL,2007,16.62,1.52,549.59,5839.79
BEL,2008,14.86,1.43,526.61,5639.99
BEL,2009,14.18,1.46,526.24,5681.52
BEL,2010,13.84,1.41,540.99,5894.45
BEL,2011,13.61,1.41,551.65,6089.3
BEL,2012,12.77,1.34,541.62,6015.75
BEL,2013,12.53,1.33,556.79,6213.46
BEL,2014,12.22,1.3,561.59,6294.89
BEL,2015,12.27,1.33,591.14,6664.64
BEL,2016,12.04,1.3,603.74,6841.26
BEL,2017,11.51,1.24,592.17,6736.03
BEL,2018,11.24,1.22,601.27,6870.69
BEL,2019,11.31,1.22,613.64,7050.09
BEL,2020,11.18,1.25,615.68,7104.1
BEL,2021,10.78,1.19,649.34,7523.43
BGR,2003,37,2.66,231.65,1801.17
BGR,2004,35.62,2.45,233.47,1801.69
BGR,2005,34.27,2.36,243.79,1867.19
BGR,2006,36.81,2.4,267.29,2031.65
BGR,2007,35.3,2.17,275.73,2080.49
BGR,2008,35.31,2.22,308.21,2309.29
BGR,2012,37.75,2.85,474.18,3464.32
BGR,2013,34.91,2.49,432.71,3143.72
BGR,2014,34.88,2.68,491.21,3548.5
BGR,2015,35.95,2.66,516.44,3706.97
BGR,2016,36.74,2.74,587.21,4185.5
BGR,2017,36.97,2.77,625.8,4428.13
BGR,2018,35.41,2.6,625.65,4395.19
BGR,2019,34.36,2.44,616.93,4303.54
BGR,2020,32.62,2.77,692.59,4802.39
BGR,2021,30.6,2.62,758.71,5218.21
BRA,2015,18.25,1.63,248.34,50083.7
BRA,2016,18.26,1.67,244.67,49721.38
BRA,2017,17.97,1.7,250.06,51188.76
BRA,2018,18.2,1.72,261.62,53921.16
BRA,2019,18.22,1.75,272.83,56600.28
CAN,1970,11.96,0.75,32.68,696.95
CAN,1971,11.53,0.75,36.13,793.49
CAN,1972,10.96,0.71,37.08,823.77
CAN,1973,10.94,0.67,40.13,902.55
CAN,1974,10.03,0.61,42.13,960.9
CAN,1975,9.32,0.61,45.43,1051.33
CAN,1976,8.96,0.58,48.67,1141.26
CAN,1977,8.9,0.58,51.69,1226.39
CAN,1978,8.88,0.57,55.5,1329.84
CAN,1979,9.08,0.58,62.87,1521.45
CAN,1980,8.93,0.58,70.74,1734.21
CAN,1981,9.36,0.63,84.1,2087.45
CAN,1982,9.07,0.68,90.36,2269.52
CAN,1983,9.15,0.7,97.55,2474.6
CAN,1984,9.5,0.72,107.83,2761.16
CAN,1985,10.06,0.76,122.03,3153.46
CAN,1986,10.76,0.84,137.55,3590.12
CAN,1987,11.06,0.86,150.11,3969.79
CAN,1988,11.38,0.88,166.34,4456.54
CAN,1989,11.69,0.93,184.66,5036.96
CAN,1990,11.91,1,202.52,5607.95
CAN,1991,12.14,1.1,219.06,6141.79
CAN,1992,12.75,1.19,241.92,6863.49
CAN,1993,13.38,1.23,258.3,7409.19
CAN,1994,13.61,1.2,267.11,7746.48
CAN,1995,14.36,1.23,285.01,8351.39
CAN,1996,14.58,1.22,291.52,8631.94
CAN,1997,15.26,1.27,319.14,9544.27
CAN,1998,15.7,1.34,345.52,10419.09
CAN,1999,16.2,1.35,369.05,11219.66
CAN,2000,16.6,1.37,406.82,12483.48
CAN,2001,16.92,1.46,444.05,13774.66
CAN,2002,17.44,1.54,480.95,15082.18
CAN,2003,17.85,1.61,520.03,16455.16
CAN,2004,17.99,1.63,561.77,17942.39
CAN,2005,18.06,1.63,594.45,19166.56
CAN,2006,17.93,1.68,625.28,20366.21
CAN,2007,17.73,1.67,657.56,21626.28
CAN,2008,17.52,1.68,674.42,22422.54
CAN,2009,17.63,1.88,692.03,23272.98
CAN,2010,18.23,1.95,755.74,25699.62
CAN,2011,17.9,1.86,755.06,25928.17
CAN,2012,17.46,1.84,756.83,26271.97
CAN,2013,17.04,1.77,754.27,26460.61
CAN,2014,16.63,1.71,754.34,26729.19
CAN,2015,16.72,1.8,774.78,27663.06
CAN,2016,16.63,1.83,838.5,30279.05
CAN,2017,16.43,1.79,849.46,31043.47
CAN,2018,15.93,1.74,850.08,31514.51
CAN,2019,15.85,1.74,827.57,31132.05
CAN,2020,14.24,1.86,836.93,31827.31
CAN,2021,13.79,1.7,865.34,33090.37
CAN,2022,14.47,1.61,914.33,35602.95
CHE,2010,10.52,1.05,530.9,4154.24
CHE,2011,10.32,1.04,539.8,4271.07
CHE,2012,10.38,1.05,566.96,4533.92
CHE,2013,10.23,1.06,595.63,4818.22
CHE,2014,10.23,1.07,611.91,5010.68
CHE,2015,10.18,1.1,636.99,5275.84
CHE,2016,10.33,1.14,676.59,5665.33
CHE,2017,10.55,1.17,687.4,5809.8
CHE,2018,10.66,1.15,703.79,5992.27
CHE,2019,10.68,1.18,716.54,6144.51
CHE,2020,10.85,1.27,761.87,6581.16
CHE,2021,10.59,1.25,803.2,6991.52
CHL,2019,13.96,1.31,320.69,6156.52
CHL,2020,12.33,1.2,298.15,5775.33
CHL,2021,12.29,1.15,329,6401.04
COL,2013,15.59,1.09,144.3,6659.77
COL,2014,15.65,1.13,154.55,7196.59
COL,2015,15.4,1.16,159.43,7488.37
COL,2016,15.53,1.17,171.11,8116.99
COL,2017,15.58,1.2,177.53,8544.81
CRI,2011,14.94,1.21,175.76,810.22
CRI,2012,14.37,1.12,175.02,816.3
CRI,2013,13.51,1.04,167.22,788.65
CRI,2014,14.75,1.13,193.6,922.93
CRI,2015,14.54,1.1,201.04,968.6
CRI,2016,13.61,1,192.4,936.41
CRI,2017,7.66,0.54,110.72,544.01
CRI,2018,9.4,0.69,143.8,712.93
CRI,2019,9.08,0.66,141.24,706.15
CRI,2020,8.23,0.64,133.07,669.89
CRI,2021,8.52,0.65,142.36,720.36
CYP,2003,22.35,1.26,312.89,312.76
CYP,2004,22.15,1.2,316.32,321.97
CYP,2005,21.96,1.19,325.95,337.73
CYP,2006,21.18,1.15,333.75,351.92
CYP,2007,21.05,1.12,360.64,386.86
CYP,2008,18.57,1.12,379.08,413.59
CYP,2009,17.83,1.15,369.05,409.42
CYP,2010,16.08,1.05,333.52,376.15
CYP,2011,15.95,1.03,322.56,369.82
CYP,2012,16.09,1.05,320.28,373.26
CYP,2013,16.42,1.14,331.25,392.16
CYP,2014,16.77,1.16,340.1,408.73
CYP,2015,18.41,1.25,383.79,468.04
CYP,2016,18.63,1.24,426.1,527.13
CYP,2017,18.23,1.21,440.26,552.2
CYP,2018,18.13,1.24,474.21,602.6
CYP,2019,15.5,1.1,431.32,554.97
CYP,2020,14.12,1.19,440.74,573.95
CYP,2021,14.99,1.41,578.65,762.26
CZE,1990,24.21,0.9,118.87,1228.29
CZE,1991,21.5,0.83,94.25,971.55
CZE,1992,24.69,0.98,114.23,1178.72
CZE,1993,22.36,1.19,147.17,1520.29
CZE,1994,28.25,1.55,204.86,2116.94
CZE,1995,28.28,1.61,228.55,2360.33
CZE,1996,27.67,1.55,237.6,2450.94
CZE,1997,27.25,1.53,236.94,2441.44
CZE,1998,25.09,1.4,222.99,2295.55
CZE,1999,24.15,1.39,229.86,2363.89
CZE,2000,24.66,1.41,253.01,2594.58
CZE,2001,24.98,1.47,289.85,2961.23
CZE,2002,25.07,1.55,317.8,3240.53
CZE,2003,25.2,1.64,351.18,3579.95
CZE,2004,25.67,1.63,375.84,3832.48
CZE,2005,25.7,1.63,391.51,3997.77
CZE,2006,23.48,1.45,366.3,3750.52
CZE,2007,22.21,1.33,368.85,3798.67
CZE,2008,20.91,1.32,381.1,3957.61
CZE,2009,22.14,1.61,453.59,4737.23
CZE,2010,19.52,1.48,431.28,4517.42
CZE,2011,19.56,1.48,435.79,4574.11
CZE,2012,19.85,1.51,453.47,4766.27
CZE,2013,19.04,1.43,454.12,4774.75
CZE,2014,18.12,1.38,465.57,4900.29
CZE,2015,18,1.33,468.99,4945.98
CZE,2016,17.76,1.32,496.86,5249.97
CZE,2017,17.17,1.27,509.94,5402.54
CZE,2018,16.32,1.22,510.5,5426.56
CZE,2019,15.79,1.2,516.51,5512.13
CZE,2020,15.24,1.4,579.67,6201.22
CZE,2021,13.36,1.27,574.76,6038.3
DEU,1970,17,0.97,42.9,3353.23
DEU,1971,16.23,1,48.39,3789.72
DEU,1972,15.85,1.03,53.48,4207.94
DEU,1973,15.29,1.04,58.79,4640.77
DEU,1974,14.88,1.09,67.37,5320.11
DEU,1975,14.33,1.15,76.31,6003.89
DEU,1976,14.23,1.14,84.14,6590.88
DEU,1977,13.85,1.1,89.66,7007.89
DEU,1978,13.96,1.12,101.8,7949.67
DEU,1979,13.88,1.1,111.14,8683.28
DEU,1980,13.9,1.13,126.19,9879.39
DEU,1981,13.98,1.17,141.85,11122.32
DEU,1982,13.99,1.15,146.13,11446.7
DEU,1983,14.21,1.17,156.96,12262.94
DEU,1984,14.27,1.19,170.75,13294.14
DEU,1985,14.3,1.21,185.72,14427.63
DEU,1986,14.36,1.2,199.07,15471.42
DEU,1987,14.59,1.24,215.97,16811.32
DEU,1988,14.63,1.27,236.54,18484.17
DEU,1989,14.82,1.2,236.53,18626.96
DEU,1990,14.71,1.18,253.63,20146.44
DEU,1992,15.36,1.38,310.2,25009.43
DEU,1993,13.77,1.24,280.89,22796.09
DEU,1994,13.38,1.24,292.93,23855.41
DEU,1995,13.18,1.26,309.58,25286.14
DEU,1996,13.46,1.32,333.77,27340.63
DEU,1997,13.44,1.31,335.39,27513.23
DEU,1998,13.95,1.36,357.93,29367.4
DEU,1999,13.99,1.37,377.4,30984.47
DEU,2000,14.07,1.39,407.47,33498.64
DEU,2001,14.68,1.46,441.87,36388.29
DEU,2002,14.91,1.52,483.02,39843.76
DEU,2003,14.82,1.54,493.46,40726.9
DEU,2004,14.01,1.42,475.3,39220.23
DEU,2005,15.11,1.56,518.4,42752.48
DEU,2006,14.97,1.52,533.93,43983.09
DEU,2007,15.31,1.54,574.36,47250.27
DEU,2008,15.34,1.57,606.59,49806.75
DEU,2009,15.22,1.71,632.66,51816.4
DEU,2010,15,1.66,663.25,54238.47
DEU,2011,14.29,1.54,652.43,52373.81
DEU,2012,14.13,1.53,670.59,53932.99
DEU,2013,14.01,1.54,693.51,55928.53
DEU,2014,14.36,1.58,739.79,59909.72
DEU,2015,14.37,1.61,761.45,62200.11
DEU,2016,14.44,1.62,819.48,67482.92
DEU,2017,14.22,1.61,850.08,70265.39
DEU,2018,14.18,1.63,891.86,73940.43
DEU,2019,13.71,1.61,880.2,73138.34
DEU,2020,13.64,1.73,947.68,78809.81
DEU,2021,13.87,1.79,1042.46,86728.58
DNK,1980,6.3,0.53,50.23,257.31
DNK,1981,6.15,0.53,53.59,274.47
DNK,1982,6.19,0.53,59.18,302.86
DNK,1983,6.41,0.54,64.29,328.78
DNK,1984,6.63,0.53,67.99,347.52
DNK,1985,6.86,0.55,75.96,388.45
DNK,1986,7.28,0.56,84.95,435
DNK,1987,6.89,0.56,86.18,441.84
DNK,1988,7.33,0.6,96.27,493.8
DNK,1989,7.02,0.57,95.46,489.97
DNK,1990,7.62,0.61,109.86,564.79
DNK,1991,8.15,0.65,120.87,622.99
DNK,1992,8.12,0.65,126.26,652.96
DNK,1993,8.69,0.72,143.14,742.71
DNK,1994,9.05,0.73,154.56,804.68
DNK,1995,9.33,0.73,160,837.35
DNK,1996,9.16,0.72,166.17,874.54
DNK,1997,9.3,0.72,175.84,929.29
DNK,1998,10.37,0.78,198.45,1052.6
DNK,1999,9.05,0.76,197.47,1050.92
DNK,2000,9.07,0.74,212.72,1135.84
DNK,2001,8.98,0.76,222.1,1190.16
DNK,2002,9.41,0.82,255.15,1371.67
DNK,2003,9.24,0.82,251.66,1356.57
DNK,2004,8.92,0.8,260.56,1408.21
DNK,2005,8.58,0.78,258.68,1401.9
DNK,2006,8.72,0.8,286.76,1559.17
DNK,2007,8.89,0.83,316.62,1729.22
DNK,2008,8.33,0.79,314.6,1728.27
DNK,2009,7.61,0.81,305.73,1688.59
DNK,2010,7.9,0.84,336.88,1868.89
DNK,2011,7.68,0.8,327.6,1824.9
DNK,2012,7.23,0.76,320.08,1789.75
DNK,2013,6.83,0.7,308.59,1732.72
DNK,2014,6.77,0.7,310.75,1753.73
DNK,2015,6.71,0.69,316.72,1800.07
DNK,2016,6.58,0.67,321.82,1843.41
DNK,2017,6.51,0.66,332.76,1918.35
DNK,2018,6.44,0.65,341.55,1978.83
DNK,2019,6.6,0.67,353.82,2057.25
DNK,2020,6.53,0.69,372.05,2169.54
DNK,2021,5.85,0.63,372.62,2182.35
DNK,2022,6.4,0.61,401.69,2371.17
ESP,1980,21.81,1.08,72.03,2700.41
ESP,1981,21.47,1.09,77.45,2924.29
ESP,1982,22.19,1.15,86.33,3279.14
